price_date,open_price,day_high
2019-08-20,2919.01001,2923.629883
2019-08-21,2922.040039,2928.72998
2019-08-22,2930.939941,2939.080078
2019-08-23,2911.070068,2927.01001
2019-08-26,2866.699951,2879.27002
2019-08-27,2893.139893,2898.790039
2019-08-28,2861.280029,2890.030029
2019-08-29,2910.370117,2930.5
2019-08-30,2937.090088,2940.429932
2019-09-03,2909.01001,2914.389893
2019-09-04,2924.669922,2938.840088
2019-09-05,2960.600098,2985.860107
2019-09-06,2980.330078,2985.030029
2019-09-09,2988.429932,2989.429932
2019-09-10,2971.01001,2979.389893
2019-09-11,2981.409912,3000.929932
2019-09-12,3009.080078,3020.73999
2019-09-13,3012.209961,3017.330078
2019-09-16,2996.409912,3002.189941
2019-09-17,2995.669922,3006.209961
2019-09-18,3001.5,3007.830078
2019-09-19,3010.360107,3021.98999
2019-09-20,3008.419922,3016.370117
2019-09-23,2983.5,2999.149902
2019-09-24,3002.429932,3007.97998
2019-09-25,2968.350098,2989.820068
2019-09-26,2985.72998,2987.280029
2019-09-27,2985.469971,2987.310059
2019-09-30,2967.070068,2983.850098
2019-10-01,2983.689941,2992.530029
2019-10-02,2924.780029,2924.780029
2019-10-03,2885.379883,2911.129883
2019-10-04,2918.560059,2953.73999
2019-10-07,2944.22998,2959.75
2019-10-08,2920.399902,2925.469971
2019-10-09,2911.100098,2929.320068
2019-10-10,2918.550049,2948.459961
2019-10-11,2963.070068,2993.280029
2019-10-14,2965.810059,2972.840088
2019-10-15,2973.610107,3003.280029
2019-10-16,2989.679932,2997.540039
2019-10-17,3000.77002,3008.290039
2019-10-18,2996.840088,3000
2019-10-21,2996.47998,3007.330078
2019-10-22,3010.72998,3014.570068
2019-10-23,2994.01001,3004.780029
2019-10-24,3014.780029,3016.070068
2019-10-25,3003.320068,3027.389893
2019-10-28,3032.120117,3044.080078
2019-10-29,3035.389893,3047.870117
2019-10-30,3039.73999,3050.100098
2019-10-31,3046.899902,3046.899902
2019-11-01,3050.719971,3066.949951
2019-11-04,3078.959961,3085.199951
2019-11-05,3080.800049,3083.949951
2019-11-06,3075.100098,3078.340088
2019-11-07,3087.02002,3097.77002
2019-11-08,3081.25,3093.090088
2019-11-11,3080.330078,3088.330078
2019-11-12,3089.280029,3102.610107
2019-11-13,3084.179932,3098.060059
2019-11-14,3090.75,3098.199951
2019-11-15,3107.919922,3120.459961
2019-11-18,3117.909912,3124.169922
2019-11-19,3127.449951,3127.639893
2019-11-20,3114.659912,3118.969971
2019-11-21,3108.48999,3110.110107
2019-11-22,3111.409912,3112.870117
2019-11-25,3117.439941,3133.830078
2019-11-26,3134.850098,3142.689941
2019-11-27,3145.48999,3154.26001
2019-11-29,3147.179932,3150.300049
2019-12-02,3143.850098,3144.310059
2019-12-03,3087.409912,3094.969971
2019-12-04,3103.5,3119.379883
2019-12-05,3119.209961,3119.449951
2019-12-06,3134.620117,3150.600098
2019-12-09,3141.860107,3148.870117
2019-12-10,3135.360107,3142.120117
2019-12-11,3135.75,3143.97998
2019-12-12,3141.22998,3176.280029
2019-12-13,3166.649902,3182.679932
2019-12-16,3183.629883,3197.709961
2019-12-17,3195.399902,3198.219971
2019-12-18,3195.209961,3198.47998
2019-12-19,3192.320068,3205.47998
